Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	 
County	County Court at Law	Kaufman		Shelly		Dearing		Court Reporter	100 W Mulberry	Kaufman	75142	(469)376-4747	 tamara.davis@kaufmancounty.net
District	422nd District Court	Kaufman		Angela		Endicott	(Civil & Family)	Court Coordinator	1902 E. US 175	Kaufman	75142-2087	(469)376-4668	 jennifer@kaufmancounty.net
District	422nd District Court	Kaufman		Shelton	T. W.	Gibbs	IV	Judge	1902 E. US 175	Kaufman	75142-2087	(469)376-4668	 jennifer@kaufmancounty.net
County	County Court at Law	Kaufman		Tracy	Booker	Gray		Judge	100 W Mulberry	Kaufman	75142	(469)376-4745	 tamara.davis@kaufmancounty.net
Municipal	Mabank	Kaufman		Jan	Forbes	Groom		Associate Judge	P O Box 293	Mabank	75147-0293	(903)887-8500	
Municipal	Kemp	Kaufman		Tori		Hitzfeld		Associate Judge	P O Box 449	Kemp	75143-0449	(903)498-7937	
County	County Court at Law No. 2	Kaufman		Sherry		Hooper		Court Reporter	100 W Mulberry	Kaufman	75142	(469)376-4757	 vcrowder@kaufmancounty.net
County	County Clerk Office	Kaufman	Ms.	Laura		Hughes		Clerk	100 W Mulberry	Kaufman	75142	(469)376-4735	 countyclerk@kaufmancounty.net
District	District Clerk Office	Kaufman	Ms.	Rhonda		Hughey		Clerk	100 W Mulberry	Kaufman	75142-2087	(469)376-4635	 dc@kaufmancounty.net
Justice of the Peace	Precinct 3	Kaufman		Rhitt		Jackson		Judge	408 E College	Terrell	75160	(469)376-4587	 jp3@kaufmancounty.net
Municipal	Forney	Kaufman		Maranatha		Lingerfelt		Associate Judge	P O Box 826	Forney	75126-6286	(972)552-6660	 court@forneytx.gov
Municipal	Talty	Kaufman		Janice	H.	McKee		Presiding Judge	9550 Helms Trail, Ste 500	Forney	75126-8041	(972)552-9592	 talty@taltytexas.com
District	422nd District Court	Kaufman		Peri		Perkins		Court Reporter	100 W Mulberry	Kaufman	75142-2087	(469)376-4667	 jennifer@kaufmancounty.net
County	County Court at Law No. 2	Kaufman		Bobby	L.	Rich	Jr.	Judge	100 W Mulberry	Kaufman	75142	(469)376-4757	 vcrowder@kaufmancounty.net
District	422nd District Court	Kaufman		Yolanda		Rodriguez	(Criminal)	Court Coordinator	100 W Mulberry	Kaufman	75142-2087	(469)376-4666	 jennifer@kaufmancounty.net
Municipal	Terrell	Kaufman		John		Rounsavall		Associate Judge	201 E Nash St	Terrell	75160-2741	(972)551-6600	 muncourt@cityofterrell.org
Municipal	Oak Ridge, City of	Kaufman		Alton	Carl	Rudin	Sr.	Presiding Judge	8450 N State Hwy	Oak Ridge, City of	75161	(972)551-0343	
County	County Court	Kaufman		Annabel		Sauceda		Court Coordinator	1902 US HWY 175	Kaufman	75142	(469)376-4139	 annabel@kaufmancounty.net
Municipal	Combine	Kaufman		Hyattye	O.	Simmons		Presiding Judge	100 Davis Rd	Combine	75159-5871	(972)476-1532	 court@combinetx.com
Municipal	Terrell	Kaufman		Michael	G.	Smith		Presiding Judge	201 E Nash St	Terrell	75160-2741	(972)551-6600	 muncourt@cityofterrell.org
Municipal	Forney	Kaufman		Jessica		Spain		Presiding Judge	P O Box 826	Forney	75126-6286	(972)552-6660	 court@forneytx.gov
Municipal	Kemp	Kaufman		Hayleigh		Talusek		Associate Judge	P O Box 449	Kemp	75143-0449	(903)498-7937	
Justice of the Peace	Precinct 2	Kaufman		Amy	M.	Tarno		Judge	200 E Main St	Forney	75126	(469)276-4600	 jp2@kaufmancounty.net
District	86th District Court	Kaufman		Sunni		Tilson		Court Coordinator	1902 E US Hwy 175	Kaufman	75142-2087	(469)376-4670	 judgeblair@kaufmancounty.net
District		Kaufman		Erleigh	Norville	Wiley		Criminal Attorney	100 W Mulberry	Kaufman	75142-2087	(469)376-4770 - ext. 4         	
District	86th District Court	Kaufman		Beth		Woods		Court Reporter	100 W Mulberry	Kaufman	75142-2087	(469)376-4672	 judgeblair@kaufmancounty.net
County		Kendall		Don		Allee		Attorney	201 E San Antonio St, Ste 306	Boerne	78006-2049	(830)249-9343	
District		Kendall		Nicole	S.	Bishop		Attorney	201 E San Antonio St, Ste 306	Boerne	78006-2049	(830)249-9343	
District	451st District Court	Kendall		Kirsten	B.	Cohoon		Judge	201 E San Antonio St, Ste 218	Boerne	78006-2049	(830)249-9343 - ext. 308       	 mateo.santos@co.kendall.tx.us
Justice of the Peace	Precinct 3 Place 1	Kendall		Debby	S.	Hudson		Judge	221 Fawn Valley Dr, #200	Boerne	78006	(830)249-2820	 debby.hudson@co.kendall.tx.us
District	District Clerk Office	Kendall	Ms.	Susan		Jackson		Clerk	201 E San Antonio St, Ste 201	Boerne	78006-2032	(830)249-9343	
County	County Clerk Office	Kendall		Denise		Maxwell		Clerk	201 E San Antonio St, Ste 127	Boerne	78006-2049	(830)249-9343	 denise.maxwell@co.kendall.tx.us
Municipal	Boerne	Kendall		Lawrence	G.	Morales		Associate Judge	124 Old San Antonio Rd	Boerne	78006-3413	(830)248-1504	 clemon@ci.boerne.tx.us
Justice of the Peace	Precinct 2 Place 1	Kendall		David	John	Neighbor		Judge	P O Box 425	Boerne	78006-0425	(830)249-8404	 jp@co.kendall.tx.us
Municipal	Boerne	Kendall		Ed		Phillips	Jr.	Presiding Judge	124 Old San Antonio Rd	Boerne	78006-3413	(830)248-1504	 clemon@ci.boerne.tx.us
Justice of the Peace	Precinct 4 Place 1	Kendall		Frieda	J.	Pressler		Judge	105 Amber Dr	Comfort	78013-0105	(830)995-2031	 frieda.pressler@co.kendall.tx.us
District	451st District Court	Kendall		Mateo		Santos		Court Coordinator	201 E San Antonio St, Ste 310	Boerne	78006-2049	(830)249-9343 - ext. 310       	 mateo.santos@co.kendall.tx.us
Justice of the Peace	Precinct 1 Place 1	Kendall		Michele	Van	Stavern		Judge	201 E San Antonio St, #20A	Boerne	78006-2049	(830)331-8258	
County	County Court	Kendall		Shane		Stolarczyk		Judge	201 E San Antonio St, Ste 122	Boerne	78006-2049	(830)249-9343	 commissionerscourt@co.kendall.tx.us
District	451st District Court	Kendall		Shirley		Sueltenfuss		Court Reporter	201 E San Antonio St, Ste 312	Boerne	78006-2049	(830)249-9343 - ext. 312       	 mateo.santos@co.kendall.tx.us
County	County Court	Kenedy		Chuck		Burns		Judge	P O Box 37	Sarita	78385	(361)294-5224	 lturcotte@co.kenedy.tx.us
Justice of the Peace	Precinct 4 Place 1	Kenedy		Patricia	Jane	Fain		Judge	P O Box 8	Sarita	78385	(361)294-5787	
District	105th District Court	Kenedy		Kim		Grigg		Court Reporter	700 E Kleberg	Kingsville	78363	(361)888-0510	 105district.court@co.nueces.tx.us
District		Kenedy		John	T.	Hubert		Attorney	516 W Lee Ave	Kingsville	78363	(361)595-8544	
County	County Court	Kenedy		Julie	B.	Lumbrezer		Court Reporter	P O Box 37	Sarita	78385	(361)294-5224	 lturcotte@co.kenedy.tx.us
Justice of the Peace	Precinct 2 Place 1	Kenedy		Jerry		Miller		Judge	P O Box 8	Sarita	78385	(361)294-5298	
Justice of the Peace	Precinct 1 Place 1	Kenedy		Jana	B.	Norrell		Judge	P O Box 8	Sarita	78385	(361)294-5785	 elizabeth.ramirez@co.kenedy.tx.us
District	105th District Court	Kenedy		Jack	William	Pulcher		Judge	700 E Kleberg	Kingsville	78363	(361)595-8533	 105district.court@co.nueces.tx.us
County	County Court	Kenedy		Grace		Salinas		Court Coordinator	P O Box 37	Sarita	78385	(361)294-5224	 lturcotte@co.kenedy.tx.us
Justice of the Peace	Precinct 3 Place 1	Kenedy		Cecilia	G.	Schulz		Judge	P O Box 8	Sarita	78385	(361)294-5785	
County		Kenedy		Allison		Strauss		Attorney	P O Box 202	Sarita	78385	(361)294-5292	
County	County Clerk Office	Kenedy	Ms.	Veronica		Vela		Clerk	P O Box 227	Sarita	78385-0227	(361)294-5220	 vvela@co.kenedy.tx.us
District	District Clerk Office	Kenedy	Ms.	Veronica		Vela		Clerk	P O Box 227	Sarita	78385-0227	(361)294-5220	 vvela@co.kenedy.tx.us
District	105th District Court	Kenedy		Tehrra		Wyatt		Court Coordinator	700 E Kleberg	Kingsville	78363	(361)595-8533	 105district.court@co.nueces.tx.us
County		Kent		Bill		Ballard		Attorney	P O Box 3	Jayton	79528-0003	(806)237-3975	
District	39th District Court	Kent		Bridgette		Barrow		Court Reporter	P O Box 966	Haskell	79521-0966	(940)864-2661	 dj39th@gmail.com
County	County Court	Kent		Layne		Coulter		Judge	P O Box 6	Jayton	79528-0006	(806)237-3373	 kencojdg@caprock-spur.com
District	39th District Court	Kent		Shane		Hadaway		Judge	P O Box 966	Haskell	79521-0966	(940)864-2661	 dj39th@gmail.com
County	County Clerk Office	Kent		Craig		Harrison		Clerk	P O Box 9	Jayton	79528-0009	(806)237-3881	 kcdclerk@caprock-spur.com
District	District Clerk Office	Kent		Craig		Harrison		Clerk	P O Box 9	Jayton	79528-0009	(806)237-3881	 kcdclerk@caprock-spur.com
Justice of the Peace	Countywide	Kent		David	L.	Parker		Judge	P O Box 462	Jayton	79528-0462	(806)237-3646	 kentjp@caprock-spur.com
District	39th District Court	Kent		Deborah		Smith		Court Coordinator	P O Box 966	Haskell	79521-0966	(940)864-2661	 dj39th@gmail.com
District	198th District Court	Kerr		Paula		Beaver		Court Reporter	P O Box 233	Comfort	78013-0233	(830)537-4724	 cmc@co.kerr.tx.us
Municipal	Ingram	Kerr		Harold		Danford		Presiding Judge	230 Hwy 39	Ingram	78025	(830)367-5115	
County	County Clerk Office	Kerr		Jackie	(JD)	Dowdy		Clerk	700 Main St, Rm 122	Kerrville	78028-5389	(830)792-2255	
Justice of the Peace	Precinct 1 Place 1	Kerr		Mitzi	M.	French		Judge	700 Main St, Rm 102	Kerrville	78028-5389	(830)792-2230	 mfrench@co.kerr.tx.us
County	County Court	Kerr		Debra		Gifford		Court Reporter	700 Main St	Kerrville	78028-5389	(830)792-2295	 cojudge@co.kerr.tx.us
County	County Court	Kerr		Jody		Grinstead		Court Coordinator	700 Main St, Ste 101	Kerrville	78028-5327	(830)792-2211	 cojudge@co.kerr.tx.us
District	216th District Court	Kerr		Stephen		Harpold		Attorney	402 Clearwater Paseo, Ste 500	Kerrville	78028-5629	(830)315-2460	 cmc@co.kerr.tx.us
County	County Court at Law	Kerr		Susan	F.	Harris		Judge	700 Main St, Rm 123	Kerrville	78028-5389	(830)792-2207	 awarnix@co.kerr.tx.us
Justice of the Peace	Precinct 2	Kerr		J.	R.	Hoyne		Judge	400 Clearwater Paseo, Ste 103	Kerrville	78028-5389	(830)792-6444	 jp2clerk@co.kerr.tx.us
County	County Court	Kerr		Robert	Lee	Kelly		Judge	700 Main St, Ste 101	Kerrville	78028-5327	(830)792-2211	 cojudge@co.kerr.tx.us
District	District Clerk Office	Kerr	Ms.	Dawn		Lantz		Clerk	700 Main St	Kerrville	78028	(830)792-2281	
District	198th District Court	Kerr		Michael (Pat)	Patrick	Maguire		Judge	700 Main St	Kerrville	78028-5386	(830)792-2290	 cmc@co.kerr.tx.us
District	198th District Court	Kerr		Christine		McEntyre		Court Coordinator	700 Main St	Kerrville	78028-5386	(830)792-2290	 cmc@co.kerr.tx.us
District	216th District Court	Kerr		Christine		McEntyre		Court Coordinator	700 Main St, 2nd Fl	Kerrville	78028-5386	(830)792-2290	 cmc@co.kerr.tx.us
District	216th District Court	Kerr		Dandy		Middleton		Court Reporter	700 Main St	Kerrville	78028-5386	(210)827-5153	 cmc@co.kerr.tx.us
Justice of the Peace	Precinct 3 Place 1	Kerr		Kathy	K.	Mitchell		Judge	700 Main St, BA 101	Kerrville	78028-5389	(830)792-2233	 jp3clerk@co.kerr.tx.us
District	216th District Court	Kerr		Albert	D.	Pattillo	III	Judge	700 Main St, 2nd Fl	Kerrville	78028-5386	(830)792-2290	 cmc@co.kerr.tx.us
Municipal	Kerrville	Kerr		Lucy	Sandidge	Pearson		Presiding Judge	301 McFarland	Kerrville	78028-4429	(830)257-2388	 mcinfo@kerrvilletx.gov
Justice of the Peace	Precinct 4 Place 1	Kerr		William (Bill)	E.	Ragsdale		Judge	3350-A Junction Hwy	Ingram	78025-3125	(830)896-9031	 jp4clerk@co.kerr.tx.us
County	County Court at Law	Kerr		Kelly		Rode		Court Reporter	700 Main St, Rm 123	Kerrville	78028-5389	(830)792-2209	 awarnix@co.kerr.tx.us
County		Kerr		Heather		Stebbins		Attorney	700 Main St, BA 103	Kerrville	78028-5389	(830)792-2220	
County	County Court at Law	Kerr		Ashley		Warnix		Court Coordinator	700 Main St, Rm 123	Kerrville	78028-5389	(830)792-2207	 awarnix@co.kerr.tx.us
Justice of the Peace	Countywide	Kimble		Josh	Randall	Cantrell		Judge	501 Main St	Junction	76849-4763	(325)446-2281	
County	County Court	Kimble		Jennifer	Marie	Cole		Court Coordinator	501 Main St	Junction	76849-4763	(325)446-2724	
Municipal	Junction	Kimble		Lawrence	Franklin	Harrison		Presiding Judge	730 Main St	Junction	76849-4608	(325)446-4473	 lee.simmons@cityofjunction.com
County		Kimble		Andrew	J.	Heap		Attorney	131 N 6th St	Junction	76849	(325)446-2378	
District	452nd District Court	Kimble	Honorable	Robert	Rey	Hofmann		Judge	P O Box 1580	Mason	76856-1580	(325)347-0755	 rebecca.moneyhon@txcourts.gov
District	452nd District Court	Kimble		Rebecca		Moneyhon		Court Coordinator	P O Box 1580	Mason	76856-1580	(325)347-0755	 rebecca.moneyhon@txcourts.gov
County	County Clerk Office	Kimble		Karen		Page		Clerk	501 Main St	Junction	76849-4763	(325)446-3353	 k.page@co.kimble.tx.us
District	District Clerk Office	Kimble		Karen		Page		Clerk	501 Main St	Junction	76849-4763	(325)446-3353	 k.page@co.kimble.tx.us
County	County Court	Kimble		Harold		Rose		Judge	501 Main St	Junction	76849-4763	(325)446-2724	
District	452nd District Court	Kimble		Tina		Young		Court Reporter	902 S Church	Brady	76825	(325)597-3037	 rebecca.moneyhon@txcourts.gov
County	County Court	King		Duane	Lee	Daniel		Judge	P O Box 127	Guthrie	79236-0127	(806)596-4411	 kcjudge@caprock-spur.com
District	50th District Court	King		Jennifer	Ann	Habert		Judge	101 S Washington St	Seymour	76380	(940)889-6912	 dj50th@srcaccess.net
District	50th District Court	King		Gloria	L.	Nevarez		Court Coordinator	101 S Washington St	Seymour	76380	(940)889-6912	 dj50th@srcaccess.net
Justice of the Peace	Countywide	King		Melody	Suzanne	Pettiet		Judge	P O Box 67	Guthrie	79236-0067	(806)596-4481	 melodypettiet@hotmail.com
County		King		Trey		Poage		Attorney	P O Box 369	Marble Falls	78654	(806)928-2872	
County	County Clerk Office	King		Jammye	D.	Timmons		Clerk	P O Box 135	Guthrie	79236-0135	(806)596-4412	 kcdclerk@gmail.com
District	District Clerk Office	King		Jammye	D.	Timmons		Clerk	P O Box 135	Guthrie	79236-0135	(806)596-4412	 kcdclerk@gmail.com
District	50th District Court	King		Position		Vacant		Court Reporter	101 S Washington St	Seymour	76380	(940)889-6912	 dj50th@srcaccess.net
County	County Clerk Office	Kinney	Mr.	Rick		Alvarado		Clerk	P O Box 9	Brackettville	78832-0009	(830)563-2521 - ext. 3         	
District	District Clerk Office	Kinney	Mr.	Rick		Alvarado		Clerk	P O Drawer 9	Brackettville	78832-0009	(830)563-2521 - ext. 3         	
District	63rd District Court	Kinney		Roland		Andrade		Judge	P O Drawer 1089	Del Rio	78841-1089	(830)774-7523	 63rddistrictcourt@valverdecounty.texas.gov
District		Kinney		Michael	J.	Bagley		Attorney	P O Box 1405	Del Rio	78841-1405	(830)774-7562	
County		Kinney		Todd		Durden		Attorney	P O Box 365	Brackettville	78832	(830)563-2240	
District	63rd District Court	Kinney		Ana		Guia		Court Coordinator	P O Drawer 1089	Del Rio	78841-1089	(830)774-7524	 63rddistrictcourt@valverdecounty.texas.gov
County	County Court	Kinney		Kim		Munoz		Court Coordinator	P O Box 365	Brackettville	78832	(830)563-2401 - ext. 2         	 county.admin@co.kinney.tx.us
Municipal	Brackettville	Kinney		Ponce		Padron		Presiding Judge	P O Box 526	Brackettville	78832-0526	(830)563-9823	 municipalcourt@thecityofbrackettville.com
County	County Court	Kinney		John	Paul	Schuster		Judge	P O Box 348	Brackettville	78832	(830)563-2401	 county.admin@co.kinney.tx.us
District	63rd District Court	Kinney		Lisa		Traslavina		Court Reporter	P O Drawer 1089	Del Rio	78841-1089	(830)774-7523	 63rddistrictcourt@valverdecounty.texas.gov
Justice of the Peace	Countywide	Kinney		Narce	D.	Villarreal		Judge	P O Box 389	Brackettville	78832	(830)563-2881	 kcjpvillarreal@yahoo.com
County	County Clerk Office	Kleberg		Salvador		Barrera		Clerk	P O Box 1327	Kingsville	78364-1327	(361)595-8548	 sbarrera@co.kleberg.tx.us
Justice of the Peace	Precinct 2 Place 1	Kleberg		Brandon	Wayne	Barrera		Judge	620 N 3rd	Kingsville	78363	(361)595-8571	 owebber@co.kleberg.tx.us
County	County Court at Law	Kleberg		Jaime	E.	Carrillo		Judge	P O Box 1556	Kingsville	78364-1556	(361)595-8565	
County	County Court	Kleberg		Frances		Garcia		Court Coordinator	P O Box 752	Kingsville	78364	(361)595-8585	 rmadrid@co.kleberg.tx.us
Justice of the Peace	Precinct 1 Place 1	Kleberg		Ventura (Sonny)		Gonzalez	III	Judge	2599 E Kenedy	Kingsville	78363	(361)595-1387	 jppct1@yahoo.com
District	105th District Court	Kleberg		Kim		Gregg		Court Reporter	P O Box 312	Kingsville	78364-0312	(361)510-0106	 105district.court@co.nueces.tx.us
Justice of the Peace	Precinct 4 Place 1	Kleberg		Ofelia (Ofie)		Gutierrez		Judge	622 N 14th St	Kingsville	78363	(361)595-8586	 jppct4@yahoo.com
Municipal	Kingsville	Kleberg		Michael	James	Krueger		Presiding Judge	P O Box 1458	Kingsville	78364-1458	(361)592-8566	 court@cityofkingsville.com
Justice of the Peace	Precinct 3 Place 1	Kleberg		Christopher	Dean	Lee		Judge	P O Box 214	Riviera	78379-0214	(361)296-3214	 clee@co.kleberg.tx.us
County	County Court	Kleberg		Rudy		Madrid		Judge	P O Box 752	Kingsville	78364	(361)595-8585	 rmadrid@co.kleberg.tx.us
Municipal	Kingsville	Kleberg		R.	Lee	Murphy	Jr.	Associate Judge	P O Box 1458	Kingsville	78364-1458	(361)592-8566	 court@cityofkingsville.com
District	105th District Court	Kleberg		Jack	William	Pulcher		Judge	P O Box 312	Kingsville	78364-0312	(361)595-8533	 105district.court@co.nueces.tx.us
County	County Court at Law	Kleberg		Kathleen	Ann	Quinones		Court Coordinator	P O Box 1556	Kingsville	78364-1556	(361)595-8565	
County		Kleberg		Kira	Talip	Sanchez		Attorney	P O Box 1411	Kingsville	78364-1411	(361)595-8583	
District	District Clerk Office	Kleberg	Ms.	Jennifer		Whittington		Clerk	P O Box 312	Kingsville	78364-0312	(361)595-8561	
District	105th District Court	Kleberg		Tehrra		Wyatt		Court Coordinator	P O Box 312	Kingsville	78364-0312	(361)595-8533	 105district.court@co.nueces.tx.us
County	County Clerk Office	Knox		Lisa		Cypert		Clerk	P O Box 196	Benjamin	79505-0196	(940)459-2441	
District	District Clerk Office	Knox		Lisa		Cypert		Clerk	P O Box 196	Benjamin	79505-0196	(940)459-2441	
County	County Court	Knox		Latisha	J	Gore		Court Coordinator	P O Box 77	Benjamin	79505-0077	(940)459-2191	 cojudge@knoxcountytexas.org
District	50th District Court	Knox		Jennifer	Ann	Habert		Judge	101 S Washington St	Seymour	76380	(940)889-6912	 dj50th@srcaccess.net
Municipal	Munday	Knox		Laura	Kathryn	Hampel		Presiding Judge	Drawer 39	Munday	76371	(940)422-5220	 cityjudge@mundaytexas.com
Municipal	Knox City	Knox		Monica		Meador		Presiding Judge	902 E Main St	Knox City	79529-2227	(940)658-3313	 citykc@srcaccess.net
District	50th District Court	Knox		Gloria	L.	Nevarez		Court Coordinator	101 S Washington St	Seymour	76380	(940)889-6912	 dj50th@srcaccess.net
Justice of the Peace	Countywide	Knox		Pamela	Lou	Oliver		Judge	P O Box 76	Benjamin	79505-0076	(940)459-3181	 knoxjp@knoxcountytexas.org
County		Knox		Lina		Trevino		Attorney	P O Box 11	Benjamin	79505-0011	(940)459-2241	
District	50th District Court	Knox		Position		Vacant		Court Reporter	101 S Washington St	Seymour	76380	(940)889-6912	 dj50th@srcaccess.net
Municipal	Munday	Knox		Ida	Jo	Watson		Presiding Judge	Drawer 39	Munday	76371	(940)422-5220	 cityjudge@mundaytexas.com
County	County Court	Knox		Stan		Wojcik		Judge	P O Box 77	Benjamin	79505-0077	(940)459-2191	 cojudge@knoxcountytexas.org
Justice of the Peace	Precinct 5 Place 2	Lamar		Anson		Amis		Judge	119 N Main St	Paris	75460	(903)737-2441	
County	County Court	Lamar		Brandon	Young	Bell		Judge	119 N Main St	Paris	75460-4923	(903)737-2410	 nita@co.lamar.tx.us
District	62nd District Court	Lamar		John (Will)	W.	Biard		Judge	119 N Main St, 2nd Fl	Paris	75460	(903)737-2433	 districtcourt_62nd_lamar_tx@yahoo.com
Municipal	Paris	Lamar		James (Don)	Donald	Biard		Associate Judge	P O Box 9037	Paris	75461-9037	(903)737-4107	 kferguson@paristexas.gov
District	6th District Court	Lamar		Barbara		Crabb		Court Coordinator	119 N Main St, 2nd Fl	Paris	75460	(903)737-2432	 bcrabb@co.lamar.tx.us
Justice of the Peace	Precinct 2 Place 1	Lamar		Crystal	N.	Duke		Judge	Rt 1, Box 311	Roxton	75477	(903)346-3671	
Municipal	Roxton	Lamar		Crystal	N.	Duke		Presiding Judge	P O Box 176	Roxton	75477-0176	(903)346-3535	 cityofroxton@yahoo.com
District	District Clerk Office	Lamar	Ms.	Shawntel		Golden		Clerk	119 N Main, Rm 405	Paris	75460	(903)737-2427	
County	County Court at Law	Lamar		Bill		Harris		Judge	119 N Main St	Paris	75460-4923	(903)782-1104	 cwomack@co.lamar.tx.us
Municipal	Paris	Lamar		Thomas	E.	Hunt	III	Presiding Judge	P O Box 9037	Paris	75461-9037	(903)737-4107	 kferguson@paristexas.gov
Justice of the Peace	Precinct 1 Place 1	Lamar		James		Mazy		Judge	119 N Main St	Paris	75460	(903)737-2441	 judgemazy@co.lamar.tx.us
Justice of the Peace	Precinct 3 Place 1	Lamar		Tim		Risinger		Judge	119 N Main St	Paris	75460-4280	(903)737-2440	
Municipal	Reno (Lamar County)	Lamar		Cindy	Cooper	Ruthart		Presiding Judge	160 Blackburn St	Reno	75462-7152	(903)785-6581 - ext. 2         	 tricia@renotexas.us
County	County Clerk Office	Lamar		Ruth		Sisson		Clerk	119 N Main St	Paris	75460-4923	(903)737-2420	
District	6th District Court	Lamar		Terry		Spangler		Court Reporter	119 N Main St, 2nd Fl	Paris	75460	(903)737-2432	 bcrabb@co.lamar.tx.us
Justice of the Peace	Precinct 4 Place 1	Lamar		Jimmy	O.	Steed		Judge	119 N Main St	Paris	75460	(903)737-2441	 judgesteed@co.lamar.tx.us
District	6th District Court	Lamar		Ronald	Wesley	Tidwell		Judge	119 N Main St, 2nd Fl	Paris	75460	(903)737-2432	 bcrabb@co.lamar.tx.us
District	62nd District Court	Lamar		Anna		Upchurch		Court Reporter	119 N Main St, 2nd Fl	Paris	75460	(903)737-2434	 districtcourt_62nd_lamar_tx@yahoo.com
County	County Court at Law	Lamar		Julie		Vrooman		Court Reporter	119 N Main St	Paris	75460-4923	(903)782-1104	 cwomack@co.lamar.tx.us
County	County Court at Law	Lamar		Courtney		Womack		Court Coordinator	119 N Main St	Paris	75460-4923	(903)782-1104	 cwomack@co.lamar.tx.us
Justice of the Peace	Precinct 5 Place 1	Lamar		Michael		Woodson		Judge	119 N Main St	Paris	75460-4280	(903)737-2440	
District		Lamar		Gary	D.	Young		Attorney	119 N Main St, Rm 405	Paris	75460-4923	(903)737-2458	
Justice of the Peace	Precinct 2 Place 1	Lamb		Lee	Brad	Bridges		Judge	P O Box 105	Earth	79031	(806)257-2110	
County	County Court	Lamb		Cynthia		Bussey		Court Coordinator	100 6th Dr, Rm 101	Littlefield	79339-3366	(806)385-4222 - ext. 200       	
Municipal	Sudan	Lamb		Martin	L.	Davison		Presiding Judge	P O Box 59	Sudan	79371-0059	(806)227-2115	 sudanjudge@yahoo.com
Municipal	Olton	Lamb		Becky		DeBerry		Presiding Judge	P O Box 798	Olton	79064-0798	(806)285-7771	 beckyde@fivearea.com
Justice of the Peace	Precinct 1 Place 1	Lamb		Becky		DeBerry		Judge	P O Box 798	Olton	79064-0798	(806)285-7771	 beckyde@fivearea.com
County	County Court	Lamb		James	M.	DeLoach		Judge	100 6th Dr, Rm 101	Littlefield	79339-3366	(806)385-4222 - ext. 200       	
Municipal	Amherst	Lamb		Gabriel		Galaviz		Presiding Judge	P O Box 560	Amherst	79312-0560	(806)246-3421	 cityofamherst@windstream.net
Justice of the Peace	Precinct 4 Place 1	Lamb		Melton	H.	Hanna		Judge	P O Box 300	Sudan	79371	(806)227-2048	 mmhanna@co.lamb.tx.us
District	154th District Court	Lamb		Jaime		Leal		Court Coordinator	100 6th Dr, Rm 211	Littlefield	79339-3366	(806)485-9151	 154districtcourt@co.lamb.tx.us
District	District Clerk Office	Lamb		Debbie		Long		Clerk	100 6th Dr, Rm 212	Littlefield	79339-3366	(806)485-0071	 debbielong@co.lamb.tx.us
Municipal	Earth	Lamb		Tonya (Toni)	Done'e	Miller		Presiding Judge	P O Box 105	Earth	79031-0105	(806)257-2110	 earthmunicipalcourt@gmail.com
Municipal	Littlefield	Lamb		Leslie	Gayle	Perkins		Presiding Judge	P O Box 1267	Littlefield	79339-1267	(806)385-5161 - ext. 250       	 court@lfdtx.city
County		Lamb		Rickie		Redman		Attorney	100 6th Dr, Rm 111	Littlefield	79339-3366	(806)385-4222	
County	County Clerk Office	Lamb	Ms.	Tonya		Ritchie		Clerk	100 6th Dr, Rm 103	Littlefield	79339-3366	(806)385-4222 - ext. 214       	 debbielong@co.lamb.tx.us
District	154th District Court	Lamb		Scott	A.	Say		Judge	100 6th Dr, Rm 211	Littlefield	79339-3366	(806)485-9151	 154districtcourt@co.lamb.tx.us
Justice of the Peace	Precinct 3 Place 1	Lamb		Timothy	G.	Walker		Judge	100 6th Dr, Rm 108	Littlefield	79339	(806)385-4222 - ext. 225       	 twalker@co.lamb.tx.us
Justice of the Peace	Precinct 2 & 3 Place 1	Lampasas		Camron	D.	Brister		Judge	P O Box 96	Lometa	76853-0190	(512)752-3497	 camrondbrister@yahoo.com
		Lampasas		Kirkland	A.	Fulk		Visiting Judge (local)					
District	27th District Court	Lampasas		John	T.	Gauntt		Judge	P O Box 747	Belton	76513-0747	(254)933-5270	 judge.gauntt@bellcounty.texas.gov
Municipal	Lampasas	Lampasas		Robert	J.	Gradel		Presiding Judge	312 E 3rd	Lampasas	76550-2820	(512)556-4909	 courtclerk@cityoflampasas.com
County		Lampasas		John	K.	Greenwood		Attorney	409 S Pecan, Ste 203	Lampasas	76550-6300	(512)556-8282	
District		Lampasas		John		Greenwood		Attorney	409 S Pecan St, Ste 203	Lampasas	76550-1300	(512)556-8282	
District	District Clerk Office	Lampasas		Edith	Wagner	Harrison		Clerk	409 S Pecan St, Ste 204	Lampasas	76550-0327	(512)556-8271	 districtclerk@co.lampasas.tx.us
Justice of the Peace	Precinct 4 Place 1	Lampasas		Dan		Hause		Judge	P O Box 66	Kempner	76539-0066	(512)932-2182	 judge.jp4@co.lampasas.tx.us
County	County Court	Lampasas		Randall	J.	Hoyer		Judge	501 E 4th, Ste 103	Lampasas	76550-2860	(512)556-8271	 june.huckabee@co.lampasas.tx.us
Municipal	Kempner	Lampasas		Gene		Isenhour		Presiding Judge	P O Box 660	Kempner	76539-0660	(512)932-2180	 ctclerk1@embarqmail.com
